,x,s,n,t,p.1,f,c,n.1,k,e,e.1,s.1,s.2,w,w.1,p.2,w.2,o,p.3,k.1,s.3,u
1539,2,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,1
1540,5,0,8,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,2,0,1
1541,5,2,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,0,1
1542,5,0,8,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,3,1
1543,5,0,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,0,1
1544,5,3,2,1,5,1,0,0,9,1,1,2,2,3,3,0,2,1,4,2,5,0
1545,2,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5
1546,2,0,3,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,3,1
1547,5,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
1548,5,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1
1549,2,0,4,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,0,1
1550,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
1551,2,2,3,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,0,1
1552,2,0,8,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,0,1
1553,2,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1
1554,2,2,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,5
1555,5,2,4,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,0,1
1556,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
1557,2,2,3,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,3,0,1
1558,2,2,4,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,2,3,1
1559,5,0,3,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,3,0,1
1560,2,2,3,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,3,1
1561,5,0,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,0,1
1562,5,0,4,1,5,1,0,0,7,1,1,2,2,6,3,0,2,1,4,3,4,0
1563,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
1564,5,0,3,1,5,1,0,0,5,1,1,2,2,3,7,0,2,1,4,3,4,0
1565,2,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,3,1
1566,5,2,8,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1
1567,2,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
1568,2,2,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,3,0,1
1569,2,0,4,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,0,1
1570,5,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,0,1
1571,5,0,4,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,3,0,1
1572,2,2,4,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,3,3,1
1573,5,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
1574,2,2,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,0,1
1575,5,2,8,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,3,1
1576,5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1
1577,2,0,3,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1
1578,2,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,1
1579,2,0,8,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,2,0,1
1580,5,0,4,1,5,1,0,0,7,1,1,2,2,6,7,0,2,1,4,2,4,0
1581,5,0,3,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,3,1
1582,2,2,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
1583,2,2,3,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,2,3,1
1584,5,2,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
1585,5,0,4,1,5,1,0,0,7,1,1,2,2,3,3,0,2,1,4,3,4,0
1586,5,0,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,3,1
1587,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4
1588,2,0,8,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,2,3,1
1589,2,2,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,3,0,1
1590,5,0,3,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,3,3,1
1591,2,0,3,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,3,1
1592,2,0,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,3,0,1
1593,5,0,3,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,3,1
1594,2,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,3,0,1
1595,5,0,3,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,3,4,0
1596,5,2,3,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,0,1
1597,2,2,3,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
1598,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
1599,5,3,3,1,5,1,0,0,5,1,1,2,2,6,3,0,2,1,4,2,5,0
1600,2,2,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,0,1
1601,2,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,3,1
1602,2,2,4,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,3,0,1
1603,2,0,8,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,3,1
1604,2,0,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1
1605,2,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1
1606,5,2,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1
1607,5,0,4,1,5,1,0,0,7,1,1,2,2,7,7,0,2,1,4,3,5,0
1608,5,2,4,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,3,3,1
1609,5,0,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,0,1
1610,2,2,8,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,0,1
1611,5,0,4,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,5,5
1612,2,2,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,3,5
1613,2,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
1614,5,0,4,1,5,1,0,0,9,1,1,2,2,7,3,0,2,1,4,2,4,0
1615,5,2,8,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,3,0,1
1616,2,0,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
1617,5,2,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,3,1
1618,5,0,4,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,3,3,1
1619,5,2,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,3,1
1620,2,0,3,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,0,1
1621,2,2,4,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,3,3,1
1622,2,2,3,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1
1623,5,0,2,1,5,1,0,0,5,1,1,2,2,6,6,0,2,1,4,2,4,0
1624,2,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
1625,5,0,4,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,3,3,1
1626,5,0,4,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,3,4,0
1627,2,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5
1628,2,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
1629,2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5
1630,2,0,8,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,0,1
1631,2,2,4,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,3,3,1
1632,2,0,4,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,2,0,1
1633,5,2,4,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,2,0,1
1634,2,2,4,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,0,1
1635,2,2,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
1636,2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,1
1637,2,2,3,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,0,1
1638,5,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,0,1
1639,5,2,4,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,3,3,1
1640,5,0,4,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,2,4,0
1641,5,0,4,1,5,1,0,0,5,1,1,2,2,3,7,0,2,1,4,3,4,0
1642,2,0,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,0,1
1643,2,0,8,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,3,3,1
1644,5,0,8,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,0,1
1645,5,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
1646,2,2,3,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,3,0,1
1647,5,2,8,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,3,1
1648,5,0,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1
1649,5,0,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1
1650,5,2,8,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1
1651,5,2,4,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,2,3,1
1652,5,2,3,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,3,3,1
1653,5,2,3,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,3,1
1654,2,2,8,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,3,3,1
1655,5,2,4,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,0,1
1656,2,0,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,3,3,1
1657,2,0,8,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,3,1
1658,5,0,8,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1
1659,2,0,3,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1
1660,5,0,3,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,0,1
1661,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
1662,5,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
1663,5,2,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,0,1
1664,5,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
1665,5,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,3,1
1666,5,2,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,5
1667,5,3,3,1,5,1,0,0,5,1,1,2,2,6,3,0,2,1,4,3,4,0
1668,2,2,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,4,5
1669,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
1670,5,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
1671,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
1672,5,2,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,3,3,1
1673,2,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
1674,5,2,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1
1675,5,2,8,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,2,0,1
1676,2,2,4,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,3,3,1
1677,2,2,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,2,0,1
1678,5,2,3,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,3,1
1679,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
1680,5,2,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,3,1
1681,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3
1682,2,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,1
1683,2,2,8,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,3,1
1684,2,2,4,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,2,3,1
1685,2,2,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1
1686,2,0,3,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,3,3,1
1687,5,3,4,1,5,1,0,0,7,1,1,2,2,3,7,0,2,1,4,3,5,0
1688,5,0,4,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,2,5,0
1689,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
1690,5,0,3,1,5,1,0,0,10,1,1,2,2,6,6,0,2,1,4,2,5,0
1691,2,0,3,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,0,1
1692,2,2,4,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1
1693,2,2,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,3,0,1
1694,5,0,3,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,0,1
1695,2,2,8,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,3,1
1696,2,0,3,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,3,0,1
1697,5,0,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
1698,5,2,4,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,0,1
1699,5,0,4,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,2,5,0
1700,2,2,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,3,1
1701,2,0,4,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,2,3,1
1702,2,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,1
1703,5,0,4,1,5,1,0,0,5,1,1,2,2,6,7,0,2,1,4,2,5,0
1704,5,0,4,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,3,1
1705,2,0,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,3,1
1706,2,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
1707,2,0,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,3,1
1708,5,0,3,1,5,1,0,0,5,1,1,2,2,7,7,0,2,1,4,2,4,0
1709,5,0,8,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,0,1
1710,5,0,3,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,2,3,1
1711,5,0,4,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,3,4,0
1712,5,2,3,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,0,1
1713,2,0,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,3,0,1
1714,5,0,3,1,5,1,0,0,9,1,1,2,2,6,6,0,2,1,4,2,5,0
1715,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
1716,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
1717,2,2,3,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,3,1
1718,2,2,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1
1719,2,2,4,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,3,1
1720,2,2,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,0,1
1721,5,0,4,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,0,1
1722,5,2,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,3,3,1
1723,0,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
1724,2,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
1725,5,2,4,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,0,1
1726,2,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,3,1
1727,5,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1
1728,5,2,3,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,3,0,1
1729,2,2,8,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,0,1
1730,5,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5
1731,2,2,3,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,0,1
1732,5,0,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,3,1
1733,2,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,1
1734,5,0,4,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,3,0,1
1735,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,0,1
1736,5,0,4,1,5,1,0,0,9,1,1,2,2,3,6,0,2,1,4,2,4,0
1737,2,2,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
1738,2,2,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
1739,5,0,8,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,2,0,1
1740,2,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,3,1
1741,2,2,3,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,3,1
1742,5,0,8,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,0,1
1743,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
1744,2,2,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,1
1745,5,0,8,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,3,0,1
1746,2,0,4,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,5,5
1747,2,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,5
1748,2,2,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,3,3,1
1749,5,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,3,3,1
1750,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
1751,5,0,8,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,3,3,1
1752,5,0,8,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,2,0,1
1753,2,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,3,1
1754,2,0,4,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1
1755,2,0,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,3,1
1756,5,0,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,2,3,1
1757,5,0,4,1,5,1,0,0,7,1,1,2,2,6,6,0,2,1,4,3,4,0
1758,5,2,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1
1759,5,2,3,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,2,0,1
1760,5,0,8,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1
1761,2,0,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,3,1
1762,5,0,4,1,5,1,0,0,5,1,1,2,2,7,7,0,2,1,4,2,5,0
1763,5,2,8,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,3,1
1764,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,3,5
1765,2,2,3,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,3,0,1
1766,5,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,3,1
1767,5,0,4,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,2,4,0
1768,5,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,1
1769,5,2,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,0,1
1770,5,0,4,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,0,1
1771,5,0,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1
1772,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
1773,5,0,4,1,5,1,0,0,7,1,1,2,2,3,7,0,2,1,4,2,5,0
1774,5,0,8,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1
1775,5,0,8,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,2,0,1
1776,2,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,3,5
1777,2,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
1778,5,2,4,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1
1779,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
1780,2,2,4,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,3,1
1781,5,2,8,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,0,1
1782,2,2,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,1
1783,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
1784,5,0,4,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,2,0,1
1785,2,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5
1786,5,2,3,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,2,0,1
1787,5,2,3,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,3,1
1788,5,2,8,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,2,3,1
1789,2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
1790,2,2,8,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,0,1
1791,5,0,4,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,3,0,1
1792,2,0,4,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,3,3,1
1793,5,0,4,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,0,1
1794,2,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
1795,5,0,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,3,3,1
1796,2,2,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1
1797,2,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
1798,2,2,3,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,0,1
1799,2,3,4,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,3,4,0
1800,5,0,3,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,0,1
1801,5,0,3,1,5,1,0,0,9,1,1,2,2,7,6,0,2,1,4,2,4,0
1802,5,3,4,1,5,1,0,0,7,1,1,2,2,6,7,0,2,1,4,3,4,0
1803,2,0,4,1,5,1,0,0,5,1,1,2,2,6,3,0,2,1,4,3,5,0
1804,2,3,2,1,5,1,0,0,7,1,1,2,2,6,6,0,2,1,4,2,4,0
1805,2,2,3,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,3,3,1
1806,5,0,3,1,5,1,0,0,9,1,1,2,2,6,6,0,2,1,4,3,5,0
1807,5,3,3,1,5,1,0,0,7,1,1,2,2,3,6,0,2,1,4,2,5,0
1808,5,0,3,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,3,1
1809,2,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,3,1
1810,2,0,4,1,5,1,0,0,5,1,1,2,2,3,7,0,2,1,4,2,4,0
1811,5,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,1
1812,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
1813,5,2,8,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,0,1
1814,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
1815,5,0,3,0,2,1,0,0,3,0,1,1,1,4,0,0,2,1,2,1,5,1
1816,2,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,0,1
1817,2,2,8,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,3,1
1818,5,0,4,1,5,1,0,0,7,1,1,2,2,3,3,0,2,1,4,2,4,0
1819,2,2,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,3,1
1820,5,0,4,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,2,3,1
1821,5,2,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
1822,2,0,4,1,5,1,0,0,7,1,1,2,2,6,3,0,2,1,4,3,5,0
1823,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
1824,2,0,3,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,2,3,1
1825,5,3,2,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,3,4,0
1826,2,0,8,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,2,3,1
1827,5,2,3,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1
1828,5,3,4,1,5,1,0,0,5,1,1,2,2,7,6,0,2,1,4,2,4,0
1829,5,3,3,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,3,5,0
1830,5,0,3,1,5,1,0,0,9,1,1,2,2,3,7,0,2,1,4,2,4,0
1831,2,2,8,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,3,0,1
1832,5,0,3,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,2,4,0
1833,5,0,4,1,5,1,0,0,9,1,1,2,2,3,3,0,2,1,4,3,4,0
1834,5,0,2,1,5,1,0,0,10,1,1,2,2,3,7,0,2,1,4,3,4,0
